case_id,dyad,month,split,total_event_count,conflict_count,military_count,threat_count,cooperation_count,diplomatic_count,avg_tone,avg_goldstein,cinc_ratio,diplomatic_score,trade_dependence,news_sentiment,recent_conflicts,us_gdp_current_usd,target_gdp_current_usd,us_military_expenditure_usd,target_military_expenditure_usd,us_trade_percent_gdp,target_trade_percent_gdp,fatalities_sum,us_actor_events,model_probability,label,future_6m_escalation_score,label_threshold,gdelt_article_count,gdelt_avg_tone,gdelt_negative_share
ACLED_CASE_00160,US-Iran,2020-06,train,20,11,1,9,1,1,-8.461538461538462,-4.560769230769231,1.0974356462519244,-0.6285714285714287,0.3364301524372035,-0.5841854466268321,0.0536909126841405,21060473613000.0,0.0,778397200000.0,3349702008.04581,23.4015629969394,43.8844674905013,11.0,1,0.6267973663505668,1,309.23999999999995,201.34,0,0.0,0.0
ACLED_CASE_00161,US-Iran,2020-07,train,28,21,9,7,0,3,-10.0,-5.69,1.0974356462519244,-0.696,0.3364301524372035,-0.6628062914776197,0.0542146466289332,21060473613000.0,0.0,778397200000.0,3349702008.04581,23.4015629969394,43.8844674905013,24.0,0,0.8173541742867477,1,288.34000000000003,201.34,0,0.0,0.0
ACLED_CASE_00162,US-Iran,2020-08,train,52,32,11,20,0,0,-10.0,-6.0200000000000005,1.0974356462519244,-0.9696969696969696,0.3364301524372035,-0.6723449710373557,0.0558548861196704,21060473613000.0,0.0,778397200000.0,3349702008.04581,23.4015629969394,43.8844674905013,35.0,0,0.965843748650239,1,239.4,201.34,0,0.0,0.0
ACLED_CASE_00163,US-Iran,2020-09,train,34,18,10,16,0,6,-9.09090909090909,-5.365454545454544,1.0974356462519244,-0.432,0.3364301524372035,-0.6285648012925984,0.0592488638159056,21060473613000.0,0.0,778397200000.0,3349702008.04581,23.4015629969394,43.8844674905013,32.0,0,0.8862995056422585,1,208.86,201.34,0,0.0,0.0
ACLED_CASE_00164,US-Iran,2020-10,train,63,22,9,41,1,32,-8.75,-4.975,1.0974356462519244,0.3107142857142856,0.3364301524372035,-0.6064028695468676,0.0612226030563364,21060473613000.0,0.0,778397200000.0,3349702008.04581,23.4015629969394,43.8844674905013,19.0,0,0.9660828339909908,0,161.57999999999998,201.34,0,0.0,0.0
ACLED_CASE_00165,US-Iran,2020-11,train,38,15,4,23,1,14,-8.181818181818182,-4.560909090909092,1.0974356462519244,0.0903225806451613,0.3364301524372035,-0.5752045732940398,0.065012708660958,21060473613000.0,0.0,778397200000.0,3349702008.04581,23.4015629969394,43.8844674905013,16.0,0,0.8447733188035756,0,156.14,201.34,0,0.0,0.0
ACLED_CASE_00166,US-Iran,2020-12,train,21,11,1,10,1,4,-7.647058823529411,-4.153529411764706,1.0974356462519244,-0.3058823529411765,0.3364301524372035,-0.5435076098770949,0.0666895287074823,21060473613000.0,0.0,778397200000.0,3349702008.04581,23.4015629969394,43.8844674905013,11.0,0,0.6242041313192342,0,174.94,201.34,0,0.0,0.0
ACLED_CASE_00167,US-Iran,2021-01,train,17,7,3,10,2,4,-6.0,-3.15,1.2953312358177196,-0.0142857142857143,0.341409685992271,-0.4442213099530167,0.0670093032333615,23315080560000.0,0.0,806230200000.0,5699580109.49925,25.6095576621932,42.672379536261,4.0,1,0.6017419175604399,0,192.94,201.34,0,0.0,0.0
ACLED_CASE_00168,US-Iran,2021-02,train,23,7,0,16,0,8,-6.25,-3.655,1.2953312358177196,0.1624999999999999,0.341409685992271,-0.4727795752717101,0.0677899941448181,23315080560000.0,0.0,806230200000.0,5699580109.49925,25.6095576621932,42.672379536261,23.0,0,0.6503128032297787,0,198.3,201.34,0,0.0,0.0
ACLED_CASE_00169,US-Iran,2021-03,train,17,7,3,10,4,5,-2.2222222222222223,-1.281111111111111,1.2953312358177196,0.1764705882352941,0.341409685992271,-0.1821469739210069,0.0689610305120031,23315080560000.0,0.0,806230200000.0,5699580109.49925,25.6095576621932,42.672379536261,5.0,0,0.5593627036329416,1,208.74,201.34,0,0.0,0.0
ACLED_CASE_00170,US-Iran,2021-04,train,19,10,6,9,2,5,-7.0,-3.9,1.2953312358177196,-0.1111111111111111,0.341409685992271,-0.5111647574209011,0.0695465486955956,23315080560000.0,0.0,806230200000.0,5699580109.49925,25.6095576621932,42.672379536261,15.0,2,0.6706751706060247,1,204.0,201.34,0,0.0,0.0
ACLED_CASE_00171,US-Iran,2021-05,train,24,20,9,4,0,0,-9.310344827586206,-5.435172413793104,1.2953312358177196,-0.9523809523809524,0.341409685992271,-0.6369038120561412,0.0705224123349163,23315080560000.0,0.0,806230200000.0,5699580109.49925,25.6095576621932,42.672379536261,29.0,1,0.7880745622491288,0,181.46,201.34,0,0.0,0.0
ACLED_CASE_00172,US-Iran,2021-06,train,27,17,9,10,1,2,-10.0,-5.59,1.2953312358177196,-0.6476190476190476,0.341409685992271,-0.6598505324246013,0.0716283911261466,23315080560000.0,0.0,806230200000.0,5699580109.49925,25.6095576621932,42.672379536261,21.0,0,0.8248948204820097,0,159.56,201.34,0,0.0,0.0
ACLED_CASE_00173,US-Iran,2021-07,train,28,18,7,10,1,3,-6.571428571428571,-3.8457142857142856,1.2953312358177196,-0.5826086956521739,0.341409685992271,-0.4925436706165857,0.0718235638540108,23315080560000.0,0.0,806230200000.0,5699580109.49925,25.6095576621932,42.672379536261,19.0,0,0.797085780112898,0,142.92000000000002,201.34,0,0.0,0.0
